Title,Author,Genre,My_Rating,Average_Rating,Pages,Original_Publication_Year,Date_Read,Month,Day,Year,Date_Added,SeasonColours,rating_gap
Topics of Conversation,Miranda Popkey,Lit-fic,4,2.82,224,2020,3/13/2023,3,13,2023,2023/03/13,#92c5de,1.18
The Summer Book,Tove Jansson,Lit-fic,5,4.04,192,1972,2/19/2023,2,19,2023,2023/02/19,#ca0020,0.96
True Love,Sarah Gerard,Lit-fic,0,3.12,224,2020,1/26/2023,1,26,2023,2022/12/12,#ca0020,-3.12
"Dune (Dune, #1)",Frank Herbert,Fantasy,3,4.26,658,1965,1/4/2023,1,4,2023,2023/01/04,#ca0020,-1.26
The Death of Ivan Ilych,Leo Tolstoy,Lit-fic,4,4.12,86,1886,12/18/2022,12,18,2022,2022/11/28,#ca0020,-0.12
"Exiles (Aaron Falk, #3)",Jane Harper,Mystery,3,4.06,356,2022,12/7/2022,12,7,2022,2022/10/17,#ca0020,-1.06
Book Lovers,Emily Henry,Lit-fic,2,4.15,377,2022,12/6/2022,12,6,2022,2022/12/06,#ca0020,-2.15
Either/Or,Elif Batuman,Lit-fic,3,4.05,368,2022,12/4/2022,12,4,2022,2022/12/04,#ca0020,-1.05
Avalon,Nell Zink,Lit-fic,4,3.22,224,2022,11/27/2022,11,27,2022,2022/11/23,#f4a582,0.78
A Writing Life:  Helen Garner and Her Work,Bernadette Brennan,Non-fiction,4,4.28,352,NA,11/27/2022,11,27,2022,2022/11/27,#f4a582,-0.28
The English Understand Wool,Helen DeWitt,Lit-fic,4,4.2,69,2022,11/13/2022,11,13,2022,2022/11/05,#f4a582,-0.2
People We Meet on Vacation,Emily Henry,Lit-fic,5,3.89,364,2021,11/13/2022,11,13,2022,2022/11/13,#f4a582,1.11
Assembly,Natasha   Brown,Lit-fic,4,3.87,112,2021,11/13/2022,11,13,2022,2022/11/13,#f4a582,0.13
Klara and the Sun,Kazuo Ishiguro,Science fiction,4,3.75,303,2021,11/7/2022,11,7,2022,2021/11/27,#f4a582,0.25
Ghost Lover,Lisa Taddeo,Lit-fic,4,3.31,225,2022,11/3/2022,11,3,2022,2022/10/17,#f4a582,0.69
Night Train,Martin Amis,Lit-fic,3,3.25,176,1997,10/25/2022,10,25,2022,2022/10/23,#f4a582,-0.25
"Lucy by the Sea (Amgash, #4)",Elizabeth Strout,Lit-fic,5,3.94,291,2022,10/23/2022,10,23,2022,2022/10/23,#f4a582,1.06
Slouching Towards Bethlehem,Joan Didion,Non-fiction,0,4.19,238,1968,10/19/2022,10,19,2022,2022/10/19,#f4a582,-4.19
Purgatory Mount,Adam Roberts,Science fiction,3,3.51,320,2021,10/16/2022,10,16,2022,2022/10/16,#f4a582,-0.51
The Grammarians,Cathleen Schine,Lit-fic,4,3.58,272,2019,10/8/2022,10,8,2022,2019/11/26,#f4a582,0.42
There's No Such Thing as an Easy Job,Kikuko Tsumura,Lit-fic,5,3.61,416,2015,9/23/2022,9,23,2022,2021/03/02,#f4a582,1.39
The Daughter of Doctor Moreau,Silvia Moreno-Garcia,Horror,3,3.59,306,2022,9/23/2022,9,23,2022,2022/05/28,#f4a582,-0.59
The Maidens,Alex Michaelides,Lit-fic,2,3.62,337,2021,9/15/2022,9,15,2022,2021/06/08,#f4a582,-1.62
A Wolverine Is Eating My Leg,Tim Cahill,Lit-fic,3,3.97,369,1989,9/15/2022,9,15,2022,2022/07/28,#f4a582,-0.97
"A Prayer for the Crown-Shy (Monk & Robot, #2)",Becky  Chambers,Science fiction,3,4.43,152,2022,9/13/2022,9,13,2022,2022/09/13,#f4a582,-1.43
Mexican Gothic,Silvia Moreno-Garcia,Horror,4,3.68,320,2020,8/29/2022,8,29,2022,2021/01/12,#0571b0,0.32
Ghosts,Dolly Alderton,Lit-fic,5,3.9,352,2020,8/17/2022,8,17,2022,2022/07/07,#0571b0,1.1
Everything I Know About Love,Dolly Alderton,Non-fiction,4,4.05,368,2018,7/12/2022,7,12,2022,2022/07/07,#0571b0,-0.05
Stasiland: Stories from Behind the Berlin Wall,Anna Funder,Non-fiction,5,4.19,328,2003,6/27/2022,6,27,2022,2019/05/26,#0571b0,0.81
Crudo,Olivia Laing,Lit-fic,0,3.2,160,2018,6/18/2022,6,18,2022,2022/06/18,#0571b0,-3.2
Honeybee,Craig Silvey,Lit-fic,4,4.4,421,2020,6/13/2022,6,13,2022,2021/06/21,#0571b0,-0.4
Crying in H Mart,Michelle Zauner,Lit-fic,5,4.27,256,2021,6/9/2022,6,9,2022,2022/04/26,#0571b0,0.73
Happy Hour,Marlowe Granados,Lit-fic,4,3.53,280,2020,6/1/2022,6,1,2022,2022/06/01,#0571b0,0.47
The Heavens,Sandra Newman,Lit-fic,3,3.26,272,2019,10/27/2019,10,27,2019,2019/08/11,#f4a582,-0.26
The Murder Rule,Dervla McTiernan,Mystery,4,3.67,295,2022,5/16/2022,5,16,2022,2022/04/27,#92c5de,0.33
The Younger Wife,Sally Hepworth,Lit-fic,0,3.81,346,2021,5/15/2022,5,15,2022,2022/05/15,#92c5de,-3.81
Sea of Tranquility,Emily St. John Mandel,Science fiction,4,4.09,259,2022,5/9/2022,5,9,2022,2022/01/06,#92c5de,-0.09
The Trivia Night,Ali Lowe,Mystery,2,3.64,368,2022,5/4/2022,5,4,2022,2022/05/04,#92c5de,-1.64
Little Women,Louisa May Alcott,Lit-fic,0,4.15,449,1868,4/27/2022,4,27,2022,2022/04/27,#92c5de,-4.15
You Be Mother,Meg Mason,Lit-fic,0,4.11,448,2017,4/6/2022,4,6,2022,2022/04/06,#92c5de,-4.11
The Paper Palace,Miranda Cowley Heller,Lit-fic,5,3.82,400,2021,4/1/2022,4,1,2022,2022/04/01,#92c5de,1.18
How to End a Story: Diaries: 1995–1998,Helen Garner,Non-fiction,5,4.57,304,NA,3/23/2022,3,23,2022,2022/01/10,#92c5de,0.43
The Plot,Jean Hanff Korelitz,Lit-fic,4,3.83,320,2021,3/20/2022,3,20,2022,2021/07/06,#92c5de,0.17
The Paris Apartment,Lucy Foley,Mystery,4,3.67,360,2022,3/18/2022,3,18,2022,2022/01/06,#92c5de,0.33
"The Galaxy, and the Ground Within (Wayfarers, #4)",Becky  Chambers,Science fiction,4,4.41,336,2021,3/15/2022,3,15,2022,2022/03/15,#92c5de,-0.41
"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,Fantasy,4,4.55,994,2011,3/15/2022,3,15,2022,2022/03/04,#92c5de,-0.55
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,Fantasy,4,4.52,662,2007,3/4/2022,3,4,2022,2022/03/04,#92c5de,-0.52
Five Tuesdays in Winter,Lily King,Lit-fic,4,3.74,240,2021,2/3/2022,2,3,2022,2022/01/15,#ca0020,0.26
The Museum of Modern Love,Heather     Rose,Lit-fic,4,3.92,296,2018,1/24/2022,1,24,2022,2022/01/24,#ca0020,0.08
"To Be Taught, If Fortunate",Becky  Chambers,Science fiction,4,4.2,153,2019,1/15/2022,1,15,2022,2022/01/15,#ca0020,-0.2
One Day I'll Remember This: Diaries 1987–1995,Helen Garner,Non-fiction,5,4.35,305,NA,1/12/2022,1,12,2022,2022/01/10,#ca0020,0.65
All's Well,Mona Awad,Horror,2,3.73,352,2021,1/2/2022,1,2,2022,2021/11/27,#ca0020,-1.73
Love & Virtue,Diana Reid,Lit-fic,3,3.93,320,NA,12/28/2021,12,28,2021,2021/11/29,#ca0020,-0.93
"A Neon Darkness (The Bright Sessions, #2)",Lauren Shippen,Science fiction,3,3.76,256,2020,12/24/2021,12,24,2021,2021/12/24,#ca0020,-0.76
You Had Me at Pet-Nat: A Natural Wine-Soaked Memoir,Rachel Signer,Non-fiction,4,3.72,288,NA,12/23/2021,12,23,2021,2021/12/23,#ca0020,0.28
"Oh William! (Amgash, #3)",Elizabeth Strout,Lit-fic,4,3.87,240,2021,12/13/2021,12,13,2021,2021/11/27,#ca0020,0.13
Gingerbread,Helen Oyeyemi,Lit-fic,4,3.05,372,2019,12/7/2021,12,7,2021,2021/12/07,#ca0020,0.95
Yellow Notebook: Diaries Volume I 1978–1986,Helen Garner,Non-fiction,4,4.15,288,2019,11/25/2021,11,25,2021,2021/11/25,#f4a582,-0.15
Elder Race,Adrian Tchaikovsky,Fantasy,4,4.13,201,2021,11/25/2021,11,25,2021,2021/11/25,#f4a582,-0.13
Animal,Lisa Taddeo,Lit-fic,4,3.72,336,2021,11/24/2021,11,24,2021,2021/05/07,#f4a582,0.28
Taste: My Life through Food,Stanley Tucci,Non-fiction,3,4.21,291,2021,11/24/2021,11,24,2021,2021/11/24,#f4a582,-1.21
Hold Your Fire,Chloe Wilson,Lit-fic,3,3.79,240,2021,11/20/2021,11,20,2021,2021/02/23,#f4a582,-0.79
Euphoria,Lily King,Lit-fic,3,3.86,256,2014,10/19/2021,10,19,2021,2021/10/19,#f4a582,-0.86
The Great Offshore Grounds,Vanessa Veselka,Lit-fic,4,3.6,448,2020,10/11/2021,10,11,2021,2020/08/11,#f4a582,0.4
Malibu Rising,Taylor Jenkins Reid,Lit-fic,4,4.05,369,2021,9/18/2021,9,18,2021,2021/09/18,#f4a582,-0.05
"Beautiful World, Where Are You",Sally Rooney,Lit-fic,3,3.54,356,2021,9/18/2021,9,18,2021,2021/09/18,#f4a582,-0.54
The Searcher,Tana French,Mystery,4,3.79,451,2020,9/7/2021,9,7,2021,2021/09/07,#f4a582,0.21
The Other Black Girl,Zakiya Dalila Harris,Lit-fic,0,3.37,357,2021,9/2/2021,9,2,2021,2021/09/02,#f4a582,-3.37
Secrets of Happiness,Joan Silber,Lit-fic,4,3.49,288,2021,9/2/2021,9,2,2021,2021/08/01,#f4a582,0.51
Spinning Silver,Naomi Novik,Fantasy,3,4.2,465,2018,8/24/2021,8,24,2021,2019/08/11,#0571b0,-1.2
Happy All the Time,Laurie Colwin,Lit-fic,3,3.86,224,1978,8/8/2021,8,8,2021,2021/08/08,#0571b0,-0.86
Eleanor Oliphant Is Completely Fine,Gail Honeyman,Lit-fic,4,4.24,336,2017,8/4/2021,8,4,2021,2021/08/04,#0571b0,-0.24
"Golden Son (Red Rising Saga, #2)",Pierce Brown,Fantasy,3,4.46,466,2015,7/31/2021,7,31,2021,2021/07/31,#0571b0,-1.46
"Red Rising (Red Rising Saga, #1)",Pierce Brown,Fantasy,4,4.26,382,2014,7/24/2021,7,24,2021,2021/06/30,#0571b0,-0.26
"A Psalm for the Wild-Built (Monk & Robot, #1)",Becky  Chambers,Science fiction,3,4.29,160,2021,7/20/2021,7,20,2021,2021/07/20,#0571b0,-1.29
No One Is Talking About This,Patricia Lockwood,Lit-fic,4,3.56,210,2021,7/18/2021,7,18,2021,2021/06/30,#0571b0,0.44
Chemistry,Weike Wang,Lit-fic,4,3.74,224,2017,7/16/2021,7,16,2021,2021/07/11,#0571b0,0.26
The Penguin Book of Japanese Short Stories,Jay Rubin,Lit-fic,4,4.13,566,2018,7/10/2021,7,10,2021,2021/07/10,#0571b0,-0.13
The Interestings,Meg Wolitzer,Lit-fic,4,3.59,468,2013,7/1/2021,7,1,2021,2021/07/01,#0571b0,0.41
"The Good Turn (Cormac Reilly, #3)",Dervla McTiernan,Mystery,5,4.23,400,2020,6/20/2021,6,20,2021,2021/06/20,#0571b0,0.77
The Vacationers,Emma Straub,Lit-fic,2,3.16,292,2014,6/17/2021,6,17,2021,2021/06/17,#0571b0,-1.16
"The Scholar (Cormac Reilly, #2)",Dervla McTiernan,Mystery,5,4.04,377,2019,6/10/2021,6,10,2021,2021/06/10,#0571b0,0.96
The Driver's Seat,Muriel Spark,Lit-fic,3,3.62,103,1970,6/9/2021,6,9,2021,2021/06/09,#0571b0,-0.62
The Truth About Her,Jacqueline Maley,Lit-fic,0,3.79,368,2021,6/2/2021,6,2,2021,2021/06/02,#0571b0,-3.79
"Wolf Hall (Thomas Cromwell, #1)",Hilary Mantel,Fantasy,4,3.9,653,2009,6/1/2021,6,1,2021,2021/06/01,#0571b0,0.1
"The Last Exodus (The Earthborn Trilogy, #1)",Paul Tassi,Science fiction,4,3.9,318,2012,5/14/2021,5,14,2021,2021/01/02,#92c5de,0.1
