Title,Author,Genre,My_Rating,Average_Rating,Pages,Original_Publication_Year,Date_Read,Month,Day,Year,Date_Added,SeasonColours,rating_gap
Such a Fun Age,Kiley Reid,Lit-fic,4,3.8,310,2019,4/23/2020,4,23,2020,2020/04/21,#92c5de,0.2
Inland,Téa Obreht,Lit-fic,4,3.43,384,2019,4/21/2020,4,21,2020,2020/04/13,#92c5de,0.57
Cardinal: The Rise and Fall of George Pell,Louise Milligan,Non-fiction,5,4.5,386,2017,4/21/2020,4,21,2020,2020/04/14,#92c5de,0.5
On Earth We're Briefly Gorgeous,Ocean Vuong,Lit-fic,5,4.05,246,2019,4/13/2020,4,13,2020,2019/12/08,#92c5de,0.95
The Memory Police,Yōko Ogawa,Lit-fic,5,3.73,274,1994,3/9/2020,3,9,2020,2019/07/15,#92c5de,1.27
Terra Nullius,Claire G. Coleman,Lit-fic,4,3.76,294,2017,3/9/2020,3,9,2020,2020/02/09,#92c5de,0.24
The Truants,Kate Weinberg,Lit-fic,3,3.35,352,2019,2/8/2020,2,8,2020,2020/01/09,#ca0020,-0.35
Nothing to See Here,Kevin    Wilson,Lit-fic,3,3.96,288,2019,2/8/2020,2,8,2020,2019/07/15,#ca0020,-0.96
The Dutch House,Ann Patchett,Lit-fic,4,4.1,337,2019,2/6/2020,2,6,2020,2019/07/15,#ca0020,-0.1
Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk,Lit-fic,4,3.96,274,2009,2/2/2020,2,2,2020,2019/12/08,#ca0020,0.04
Fleishman Is in Trouble,Taffy Brodesser-Akner,Lit-fic,2,3.64,373,2019,1/10/2020,1,10,2020,2019/10/09,#ca0020,-1.64
The Sympathiser,Viet Thanh Nguyen,Lit-fic,4,4,399,2015,1/6/2020,1,6,2020,2019/12/28,#ca0020,0
"Every Heart a Doorway (Wayward Children, #1)",Seanan McGuire,Mystery,3,3.82,176,2016,12/30/2019,12,30,2019,2019/12/28,#ca0020,-0.82
Chocky,John Wyndham,Science fiction,4,3.86,154,1968,12/30/2019,12,30,2019,2019/01/15,#ca0020,0.14
Grief is the Thing with Feathers,Max Porter,Lit-fic,5,3.84,114,2015,12/30/2019,12,30,2019,2019/12/30,#ca0020,1.16
Territory of Light,Yūko Tsushima,Lit-fic,5,3.59,122,1978,12/29/2019,12,29,2019,2019/07/15,#ca0020,1.41
Dark Emu,Bruce Pascoe,Non-fiction,4,4.3,176,2014,12/28/2019,12,28,2019,2019/07/30,#ca0020,-0.3
Invisible Women: Data Bias in a World Designed for Men,Caroline Criado Pérez,Non-fiction,5,4.36,448,2019,12/27/2019,12,27,2019,2019/11/14,#ca0020,0.64
Lanny,Max Porter,Lit-fic,5,4.05,210,2019,12/27/2019,12,27,2019,2019/07/22,#ca0020,0.95
"Find Me (Call Me By Your Name, #2)",André Aciman,Lit-fic,3,3.27,260,2019,12/26/2019,12,26,2019,2019/12/25,#ca0020,-0.27
"Ninth House (Alex Stern, #1)",Leigh Bardugo,Fantasy,3,4.03,461,2019,12/23/2019,12,23,2019,2019/12/08,#ca0020,-1.03
The Godmother,Hannelore Cayre,Mystery,4,3.74,186,2017,10/22/2019,10,22,2019,2019/10/09,#f4a582,0.26
Grand Union,Zadie Smith,Lit-fic,4,3.27,NA,2019,12/18/2019,12,18,2019,2019/07/15,#ca0020,0.73
Supper Club,Lara    Williams,Lit-fic,4,3.49,294,2019,12/5/2019,12,5,2019,2019/11/14,#ca0020,0.51
American Spy,Lauren Wilkinson,Lit-fic,4,3.5,292,2019,12/2/2019,12,2,2019,2019/07/15,#ca0020,0.5
Bunny,Mona Awad,Horror,5,3.53,307,2019,12/2/2019,12,2,2019,2019/11/14,#ca0020,1.47
"Olive, Again (Olive Kitteridge, #2)",Elizabeth Strout,Lit-fic,5,4.11,289,2019,11/26/2019,11,26,2019,2019/07/15,#f4a582,0.89
Trust Exercise,Susan Choi,Lit-fic,3,3.14,257,2019,11/18/2019,11,18,2019,2019/05/25,#f4a582,-0.14
In the Dream House: A Memoir,Carmen Maria Machado,Non-fiction,4,4.44,264,2019,11/14/2019,11,14,2019,2019/07/01,#f4a582,-0.44
On Palestine,Noam Chomsky,Non-fiction,4,4.19,224,2015,11/14/2019,11,14,2019,2019/09/01,#f4a582,-0.19
The Lebs,Michael Mohammed Ahmad,Lit-fic,4,3.65,272,2018,11/9/2019,11,9,2019,2019/11/05,#f4a582,0.35
Census,Jesse Ball,Lit-fic,5,3.42,272,2018,11/9/2019,11,9,2019,2019/11/05,#f4a582,1.58
"The Testaments (The Handmaid's Tale, #2)",Margaret Atwood,Lit-fic,4,4.19,422,2019,11/2/2019,11,2,2019,2019/10/22,#f4a582,-0.19
The Divers' Game,Jesse Ball,Lit-fic,5,3.45,240,2019,10/29/2019,10,29,2019,2019/07/15,#f4a582,1.55
Doxology,Nell Zink,Lit-fic,3,3.46,416,2019,10/22/2019,10,22,2019,2019/07/15,#f4a582,-0.46
French Exit,Patrick deWitt,Lit-fic,4,3.55,256,2018,10/13/2019,10,13,2019,2018/12/27,#f4a582,0.45
Beekeeper Of Sinjar,Dunya Mikhail,Lit-fic,5,4.09,224,2018,9/24/2019,9,24,2019,2019/09/24,#f4a582,0.91
